"","artist","song","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop","X","trap","hip.hop","indie","punk","rap","jazz","pop","metal","country","folk","bluegrass","house","rock","opera","classical","instrumental","funk","broadway","Year"
"80","AFI","Miss Murder",2006-05-13,97,20,0,0.309,206587,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725,5,"Spring",0,1198,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"2006"
"81","AFI","Love Like Winter",2006-12-30,88,5,0,0.59,165653,0.912,5.14e-05,10,0.044,-4.815,0,0.0614,120.008,4,0.535,12,"Winter",1,1198,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"2006"
"82","Afroman","Because I Got High",2001-08-18,67,10,0.166,0.8,197760,0.339,0,7,0.079,-8.531,1,0.483,165.982,4,0.844,8,"Summer",0,4813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2001"
"83","AJR","Weak",2017-04-29,97,11,0.129,0.671,201676,0.61,0,5,0.164,-5.447,1,0.0465,123.981,4,0.658,4,"Spring",0,122,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"2017"
"84","Akon","Don't Matter",2007-02-03,79,23,0.24,0.79,293053,0.457,0,2,0.222,-6.231,1,0.0414,125.249,4,0.355,2,"Winter",0,4085,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2007"
"85","Alabama Shakes","Hold On",2013-03-02,100,2,0.209,0.585,226187,0.666,0.339,0,0.085,-5.381,1,0.0293,88.841,4,0.545,3,"Spring",0,1568,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"2013"
"86","Alan Jackson","Work In Progress",2002-08-24,76,19,0.057,0.752,252560,0.612,3.02e-06,4,0.112,-8.509,1,0.0406,134.989,4,0.479,8,"Summer",7,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2002"
"87","Alan Jackson","Where Were You (When The World Stopped Turning)",2001-11-24,62,20,0.72,0.642,296680,0.33,1.12e-06,0,0.098,-9.346,1,0.0311,116.008,4,0.299,11,"Fall",8,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2001"
"88","Alan Jackson","That'd Be Alright",2003-02-08,74,20,0.139,0.704,217874,0.584,0,2,0.056,-9.064,1,0.0315,134.013,4,0.771,2,"Winter",7,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2003"
"89","Alan Jackson","The Talkin' Song Repair Blues",2005-07-09,100,2,0.325,0.469,180373,0.607,0,2,0.295,-12.6,1,0.257,202.038,4,0.59,7,"Summer",5,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2005"
"90","Alan Jackson","Small Town Southern Man",2008-01-19,91,20,0.139,0.69,279520,0.569,7.61e-06,3,0.239,-8.334,1,0.0266,132.989,4,0.544,1,"Winter",2,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2008"
"91","Alan Jackson","Drive (For Daddy Gene)",2002-03-16,78,20,0.271,0.723,241069,0.599,0,11,0.104,-7.479,1,0.0455,125.24,4,0.485,3,"Spring",7,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2002"
"92","Alan Jackson","When Somebody Loves You",2001-04-28,84,17,0.726,0.623,202631,0.363,0.0002432,3,0.107,-10.959,0,0.0266,114.505,4,0.189,4,"Spring",6,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2001"
"93","Alan Jackson","It Must Be Love",2000-06-24,76,20,0.267,0.816,171594,0.649,0,6,0.059,-8.52,1,0.0298,112.13,4,0.966,6,"Summer",4,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2000"
"94","Alan Jackson","Remember When",2003-12-13,61,20,0.69,0.575,268962,0.293,0.00031878,3,0.215,-10.939,1,0.0299,125.679,4,0.261,12,"Winter",6,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2003"
"95","Alan Jackson","Sissy's Song",2009-04-25,92,13,0.734,0.617,181986,0.29,6.35e-06,5,0.098,-10.728,1,0.0281,137.954,4,0.44,4,"Spring",4,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2009"
"96","Alan Jackson","www.memory",2000-11-04,75,15,0.56,0.701,154366,0.471,0,5,0.284,-8.527,1,0.026,94.075,4,0.714,11,"Fall",5,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2000"
"97","Alan Jackson","Good Time",2008-05-24,99,20,0.092,0.648,305413,0.85,1.1115e-05,9,0.439,-6.635,1,0.0438,132.022,4,0.744,5,"Spring",3,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2008"
"98","Alan Jackson","Country Boy",2008-11-15,84,19,0.211,0.725,245256,0.807,3.825e-07,9,0.141,-7.043,1,0.0362,139.024,4,0.597,11,"Fall",3,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2008"
"99","Alan Jackson","A Woman's Love",2007-04-14,89,12,0.266,0.617,246515,0.529,0.0179116666666667,4,0.142,-9.374,1,0.0291,141.959,4,0.489,4,"Spring",3,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2007"
"100","Alan Jackson","Monday Morning Church",2004-12-04,75,16,0.298,0.567,201331,0.368,4.66666666666667e-07,4,0.187,-10.964,1,0.0313,135.91,4,0.217,12,"Winter",5,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2004"
"101","Alan Jackson","Too Much Of A Good Thing",2004-08-07,66,13,0.034,0.659,185000,0.588,0.00162,2,0.329,-6.07,1,0.0254,108.212,4,0.505,8,"Summer",6,442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2004"
