"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"112","All Jacked Up","Gretchen Wilson",2005-08-20,97,11,0.189,0.392,212520,0.928,0,0,0.183,-3.702,1,0.153,188.72,3,0.765,8,"Summer",3
"113","All Mine","Kanye West",2018-06-16,11,9,0.123,0.925,145507,0.31,0,11,0.093,-6.531,0,0.291,121.927,4,0.291,6,"Summer",9
"114","All My Friends Say","Luke Bryan",2007-08-18,90,13,0.044,0.683,242800,0.9,0,9,0.177,-4.422,1,0.0333,117.036,4,0.962,8,"Summer",0
"115","All My Life","Foo Fighters",2002-11-02,71,20,0,0.58,263440,0.604,0.000579,5,0.477,-5.703,1,0.047,167.784,4,0.645,11,"Fall",0
"116","All Of The Lights","Kanye West",2010-12-11,92,25,0.08,0.541,299613,0.803,1.71e-05,1,0.176,-3.284,1,0.0738,142.135,4,0.221,12,"Winter",3
"117","All Over Me","Josh Turner",2010-07-17,97,18,0.403,0.546,199493,0.776,0.00633,1,0.193,-7.359,1,0.0352,169.847,4,0.888,7,"Summer",2
"118","All Over The Road","Easton Corbin",2013-05-25,98,20,0.047,0.491,163067,0.841,0,5,0.089,-3.579,1,0.0421,199.851,4,0.721,5,"Spring",3
"119","All Summer Long","Kid Rock",2008-07-19,80,20,0.015,0.702,297480,0.876,3.19e-06,7,0.099,-3.024,1,0.0288,103,4,0.888,7,"Summer",0
"120","All The Right Moves","OneRepublic",2009-10-24,58,34,0.284,0.53,238000,0.95,1.01e-05,0,0.211,-3.526,1,0.0503,146.035,4,0.733,10,"Fall",1
"121","All The Things She Said","t.A.T.u.",2003-01-04,85,20,0.036,0.52,214440,0.848,0.00761,5,0.105,-5.756,0,0.0483,179.978,4,0.402,1,"Winter",0
"122","All These Things That I've Done","The Killers",2005-08-27,95,14,0.002,0.552,302393,0.748,1.1035e-05,6,0.132,-5.63,1,0.0432,118.282,4,0.203,8,"Summer",2
"123","All Time Low","Jon Bellion",2016-10-29,82,22,0.051,0.584,217603,0.569,0,0,0.092,-4.259,1,0.166,89.779,4,0.501,10,"Fall",0
"124","All Too Well","Taylor Swift",2012-11-10,80,1,0.04,0.6,327893,0.631,0.000469,0,0.128,-7.783,1,0.0255,93.04,4,0.314,11,"Fall",22
"125","All You Wanted","Michelle Branch",2002-02-23,67,28,0.005,0.499,217680,0.72,0.00303,8,0.122,-9.101,1,0.0286,96.103,4,0.652,2,"Winter",1
"126","All Your Life","The Band Perry",2011-09-24,95,23,0.227,0.536,231933,0.521,0,9,0.165,-5.373,1,0.0261,131.937,4,0.455,9,"Fall",2
"127","All-American Girl","Carrie Underwood",2008-01-19,84,20,0.044,0.62,212173,0.82,0,9,0.312,-2.372,1,0.0298,123.989,4,0.754,1,"Winter",4
"128","Almost","Bowling For Soup",2005-02-19,95,20,0.001,0.546,206160,0.882,0,11,0.186,-4.019,1,0.0394,139.966,4,0.64,2,"Winter",1
"129","Almost Home","Craig Morgan",2003-05-31,71,14,0.263,0.548,287986,0.522,0,8,0.118,-5.418,1,0.0253,75.995,4,0.246,5,"Spring",0
